City,State,MGrid
"""PERDIDO BEACH",AL,EM60ej
"""JOSEPHINE",AL,EM60ej
"""MIFLIN",AL,EM60ej
"""ELDRIDGE",AL,EM63ew
"""ELKMONT",AL,EM64mw
"""ELMORE",AL,EM62um
"""ELROD",AL,EM63ci
"""EMELLE",AL,EM52ur
"""GEIGER",AL,EM52ur
"""EMPIRE",AL,EM63lu
"""ENTERPRISE",AL,EM71bh
"""EPRISE",AL,EM71bh
"""EPES",AL,EM52wq
"""SUMTERVILLE",AL,EM52wq
"""EQUALITY",AL,EM62wt
"""NIXBURG",AL,EM62wt
